time,activity,lifecycle,payload
2022/08/01 12:11:14.619805523,TAKEOFF,START,
2022/08/01 12:11:14.648857133,TAKEOFF,STOP,
2022/08/01 12:11:15.80687389,EXPLORE,START,
2022/08/01 12:11:18.21098552,EXPLORE,STOP,
2022/08/01 12:11:18.223481393,WEED_FOUND,START,
2022/08/01 12:11:18.224273845,WEED_FOUND,STOP,
2022/08/01 12:11:18.224299772,WEED_POSITION,START,"{ weed: {x: 0.05760000000031765, y: 5.000000000000022} }"
2022/08/01 12:11:18.224353982,WEED_POSITION,STOP,"{ weed: {x: 0.05760000000031765, y: 5.000000000000022} }"
2022/08/01 12:11:18.263560444,TRACTOR_POSITION,START,"{ header: tractor_3, weed: {x: 0.00012138836873849536, y: 3.0002067797921494} }"
2022/08/01 12:11:18.263595747,TRACTOR_POSITION,STOP,"{ header: tractor_3, weed: {x: 0.00012138836873849536, y: 3.0002067797921494} }"
2022/08/01 12:11:18.574563110,TRACTOR_POSITION,START,"{ header: tractor_2, weed: {x: 0.00011841253553048105, y: 2.000209189603207} }"
2022/08/01 12:11:18.574733546,TRACTOR_POSITION,STOP,"{ header: tractor_2, weed: {x: 0.00011841253553048105, y: 2.000209189603207} }"
2022/08/01 12:11:18.709661452,TRACTOR_POSITION,START,"{ header: tractor_1, weed: {x: 0.00011622638380181636, y: 1.000211659681992} }"
2022/08/01 12:11:18.709876749,TRACTOR_POSITION,STOP,"{ header: tractor_1, weed: {x: 0.00011622638380181636, y: 1.000211659681992} }"
2022/08/01 12:11:27.727928771,CLOSEST_TRACTOR,START,{ name: tractor_3 }
2022/08/01 12:11:27.728337117,EXPLORE,START,
2022/08/01 12:11:27.731820207,CLOSEST_TRACTOR,STOP,{ name: tractor_3 }
2022/08/01 12:11:34.81197747,EXPLORE,STOP,
2022/08/01 12:11:34.223898336,WEED_FOUND,START,
2022/08/01 12:11:34.224193920,WEED_FOUND,STOP,
